Date,Hindalco,Tata Power,Axis Bank,SBI,HCL
1991-01-02,,925.0,,,
1991-01-03,210.0,925.0,,,
1991-01-07,223.75,925.0,,,
1991-01-09,225.0,930.0,,,
1991-01-11,230.0,1020.0,,,
1991-01-14,228.75,1040.0,,,
1991-01-23,225.0,1000.0,,,
1991-01-24,225.0,970.0,,,
1991-01-25,227.5,950.0,,,
1991-01-31,232.5,950.0,,,
1991-02-01,237.5,965.0,,,
1991-02-04,252.5,1070.0,,,
1991-02-05,260.0,1150.0,,,
1991-02-06,255.0,1140.0,,,
1991-02-07,250.0,1070.0,,,
1991-02-08,247.5,1050.0,,,
1991-02-11,245.0,1020.0,,,
1991-02-13,242.5,1025.0,,,
1991-02-14,245.0,1040.0,,,
1991-02-15,247.5,1125.0,,,
1991-02-19,258.75,1330.0,,,
1991-02-20,260.0,1280.0,,,
1991-02-21,262.5,1320.0,,,
1991-02-22,265.0,1290.0,,,
1991-02-26,268.75,1310.0,,,
1991-02-27,261.25,1300.0,,,
1991-02-28,260.0,1280.0,,,
1991-03-04,262.5,1340.0,,,
1991-03-05,262.5,1360.0,,,
1991-03-07,252.5,1220.0,,,
1991-03-08,255.0,1240.0,,,
1991-03-11,255.0,1205.0,,,
1991-03-12,252.5,1115.0,,,
1991-03-13,252.5,1100.0,,,
1991-03-15,260.0,1150.0,,,
1991-03-18,253.75,1100.0,,,
1991-03-20,252.5,1130.0,,,
1991-03-21,250.0,1125.0,,,
1991-03-22,253.75,1160.0,,,
1991-03-25,252.5,1110.0,,,
1991-03-26,255.0,1150.0,,,
1991-03-27,252.5,1155.0,,,
1991-04-01,255.0,1170.0,,,
1991-04-02,255.0,1190.0,,,
1991-04-03,255.0,1170.0,,,
1991-04-04,252.5,1145.0,,,
1991-04-05,252.5,1140.0,,,
1991-04-08,255.0,1180.0,,,
1991-04-09,257.5,1180.0,,,
1991-04-11,257.5,1210.0,,,
1991-04-12,265.0,1290.0,,,
1991-04-15,262.5,1350.0,,,
1991-04-16,257.5,1330.0,,,
1991-04-18,258.75,1330.0,,,
1991-04-19,261.25,1355.0,,,
1991-04-22,260.0,1340.0,,,
1991-04-23,260.0,1330.0,,,
1991-04-24,261.25,1330.0,,,
1991-04-25,270.0,1330.0,,,
1991-04-26,270.0,1305.0,,,
1991-04-29,267.5,1280.0,,,
1991-04-30,265.0,1230.0,,,
1991-05-03,271.25,1280.0,,,
1991-05-06,270.0,1260.0,,,
1991-05-07,270.0,1240.0,,,
1991-05-08,272.5,1257.5,,,
1991-05-09,270.0,1235.0,,,
1991-05-10,273.75,1240.0,,,
1991-05-13,270.0,1250.0,,,
1991-05-14,270.0,1235.0,,,
1991-05-16,247.5,1245.0,,,
1991-05-17,248.75,1250.0,,,
1991-05-20,245.0,1250.0,,,
1991-05-21,257.5,1325.0,,,
1991-05-23,253.75,1350.0,,,
1991-05-27,256.25,1365.0,,,
1991-05-29,252.5,1400.0,,,
1991-05-30,258.75,1450.0,,,
1991-05-31,266.25,1420.0,,,
1991-06-03,263.75,1430.0,,,
1991-06-04,263.75,1440.0,,,
1991-06-05,262.5,1410.0,,,
1991-06-06,261.25,1400.0,,,
1991-06-07,257.5,1310.0,,,
1991-06-11,260.0,1330.0,,,
1991-06-12,260.0,1400.0,,,
1991-06-13,257.5,1370.0,,,
1991-06-17,261.25,1410.0,,,
1991-06-18,262.5,1440.0,,,
1991-06-19,261.25,1465.0,,,
1991-06-20,262.5,1490.0,,,
1991-06-24,255.0,1540.0,,,
1991-06-25,252.5,1585.0,,,
1991-06-26,248.75,1550.0,,,
1991-06-27,246.25,1595.0,,,
1991-06-28,247.5,1585.0,,,
1991-07-02,248.75,1570.0,,,
